Exercise,Category,Type,Goal,Sets/Duration,Reps
Weighted Crunch - Gethin Variation,Core,gym,general fitness,3,12
Ab Wheel Roll-Out - Gethin Variation,Core,gym,general fitness,3,12
Bench crunch,Core,gym,general fitness,3,12
Decline plate sit-up twist,Core,gym,general fitness,3,12
Reverse ab roll-out,Core,gym,general fitness,3,12
30 Seated Twist With PVC Pipe,Core,gym,general fitness,3,12
Suspended crunch-,Core,gym,general fitness,3,12
Suspended oblique crunch,Core,gym,general fitness,3,12
Weighted sit-up,Core,gym,general fitness,3,12
30 Decline Press Sit-Up,Core,gym,general fitness,3,12
Holman Towel Reverse Plank Alternating Heel Pull-in,Core,gym,general fitness,3,12
Holman Boat with Weighted Cross Punch,Core,gym,general fitness,3,12
Holman Weighted Hook Punch,Core,gym,general fitness,3,12
Holman Weighted Traveling Punch,Core,gym,general fitness,3,12
Holman Weighted Uppercut Punch,Core,gym,general fitness,3,12
Holman Slow Weighted Double Pike,Core,gym,general fitness,3,12
Holman Plate Straight Plank Reach,Core,gym,general fitness,3,12
Holman Plate Elbow Plank Jack to Straight Plank Jack,Core,gym,general fitness,3,12
Holman Plate Hill Climber,Core,gym,general fitness,3,12
Holman Plate Reverse Plank Hill Climber,Core,gym,general fitness,3,12
Holman Plate Straight Plank Pike to Jack,Core,gym,general fitness,3,12
Holman Plate In-and-Out Push-Up,Core,gym,general fitness,3,12
Holman Plate Burpee,Core,gym,general fitness,3,12
Holman Plate Elbow Plank Reach,Core,gym,general fitness,3,12
Holman Elbow Plank to Renegade Row,Core,gym,general fitness,3,12
Holman Straight Plank Weighted Hand Hill Climber,Core,gym,general fitness,3,12
Holman Weighted Left Side Diagonal Pike,Core,gym,general fitness,3,12
Holman Weighted Right Side Diagonal Pike,Core,gym,general fitness,3,12
Holman Weighted W-Boat to Overhead Press,Core,gym,general fitness,3,12
Holman Weighted Kneeling Lift,Core,gym,general fitness,3,12
Holman Hips-Up Weighted Pull-Over,Core,gym,general fitness,3,12
Holman Weighted Cross Punch,Core,gym,general fitness,3,12
Holman Straight-Leg Boat Hover Chest Press,Core,gym,general fitness,3,12
Holman Weighted Pike,Core,gym,general fitness,3,12
Holman Feet-Elevated Wax-On Wax-Off,Core,gym,general fitness,3,12
Holman Elbow Plank to Towel Pike,Core,gym,general fitness,3,12
Holman Seated Killer Abs Overhead Press,Core,gym,general fitness,3,12
Holman Straight Plank Alternating Weighted Open,Core,gym,general fitness,3,12
Holman Weighted Killer Abs with Overhead Press,Core,gym,general fitness,3,12
Holman Weighted Split-Leg Pike,Core,gym,general fitness,3,12
Holman Towel Reverse Plank Heel Pull-in,Core,gym,general fitness,3,12
Stick Twist,Core,gym,general fitness,3,12
Roc Everest,Core,gym,general fitness,3,12
Standing cable low-to-high twist,Core,gym,general fitness,3,12
Single-arm high-cable side bend,Core,gym,general fitness,3,12
Kneeling cable oblique crunch,Core,gym,general fitness,3,12
Kneeling cable crunch,Core,gym,general fitness,3,12
Rope Crunch,Core,gym,general fitness,3,12
Standing cable crunch,Core,gym,general fitness,3,12
Bosu Ball Cable Crunch With Side Bends,Core,gym,general fitness,3,12
Standing Cable Wood Chop,Core,gym,general fitness,3,12
Cable reverse crunch,Core,gym,general fitness,3,12
Cable Russian Twists,Core,gym,general fitness,3,12
Pallof press with rotation,Core,gym,general fitness,3,12
Cable Seated Crunch,Core,gym,general fitness,3,12
Cable Judo Flip,Core,gym,general fitness,3,12
Exercise Ball Cable Crunch - Gethin Variation,Core,gym,general fitness,3,12
Standing cable high-to-low twist,Core,gym,general fitness,3,12
Bent-Over Reverse Cable Fly,Core,gym,general fitness,3,12
Standing Cable Crunch - Gethin Variation,Core,gym,general fitness,3,12
AM Cable Crunch,Core,gym,general fitness,3,12
Tyler Holt Weighted Knee-To-Chest Crunch,Core,gym,general fitness,3,12
