Exercise,Category,Type,Goal,Sets/Duration,Reps
Holman Hill Climber,Core,gym,general fitness,3,12
Holman Straight Plank Pike to Renegade Row,Core,gym,general fitness,3,12
Holman Alternating Hip Drop to Push-Up,Core,gym,general fitness,3,12
Holman Crab Kick,Core,gym,general fitness,3,12
Holman Wounded Bear Crawl,Core,gym,general fitness,3,12
Holman Alternating Crab Reach,Core,gym,general fitness,3,12
Holman Hovering Panther Core Stabilizer,Core,gym,general fitness,3,12
Holman Burpee to Forward Lunge,Core,gym,general fitness,3,12
Holman Seated Knee Pull-In Series,Core,gym,general fitness,3,12
Holman Elbow Plank Pike,Core,gym,general fitness,3,12
Holman Elbow Plank Jack to Straight Plank Split Jack,Core,gym,general fitness,3,12
Holman Boat Pull-Over,Core,gym,general fitness,3,12
Holman Squat Pulse to Plyometric Jump,Core,gym,general fitness,3,12
Holman Hands Down Heel Click,Core,gym,general fitness,3,12
Holman Straight Plank to Kick-Up,Core,gym,general fitness,3,12
Holman Hands-Elevated Split Jack,Core,gym,general fitness,3,12
Holman Feet-Elevated Plank Reach,Core,gym,general fitness,3,12
Holman Hand-Elevated Side Plank Semicircle,Core,gym,general fitness,3,12
Holman Hands-Elevated Straight Plank Pike,Core,gym,general fitness,3,12
Holman Alternating Rolling Elbow Plank,Core,gym,general fitness,3,12
Holman Elbow Plank Jack,Core,gym,general fitness,3,12
Holman Squat Thrust to Alternating Knee-In,Core,gym,general fitness,3,12
Holman Supine Double Pike,Core,gym,general fitness,3,12
Holman Elbow Plank Alternating Pike,Core,gym,general fitness,3,12
Holman Seated Killer Abs,Core,gym,general fitness,3,12
Holman Side Plank Hip Drop,Core,gym,general fitness,3,12
Holman Wide Hill Climber,Core,gym,general fitness,3,12
Holman Straight-Legged Bicycle,Core,gym,general fitness,3,12
Holman Stair Toe Tap,Core,gym,general fitness,3,12
Holman Elbow Plank Ninja,Core,gym,general fitness,3,12
Holman Traveling Stair Climb Push-Up,Core,gym,general fitness,3,12
Holman Hands-Elevated Burpee,Core,gym,general fitness,3,12
Holman Straight Plank Donkey Kick,Core,gym,general fitness,3,12
Holman Feet-Elevated Straight Plank Pike Pull,Core,gym,general fitness,3,12
Holman Towel Burpee,Core,gym,general fitness,3,12
Holman Elbow Plank to Alternating Side Plank Crunch,Core,gym,general fitness,3,12
Holman Straight-Legged Hip Raise,Core,gym,general fitness,3,12
Holman Feet-Elevated Hill Climber,Core,gym,general fitness,3,12
Holman Ninja Knee Hill Climber,Core,gym,general fitness,3,12
Holman Feet-Elevated Shoulder Tap,Core,gym,general fitness,3,12
Holman Feet-Elevated Hip Raise,Core,gym,general fitness,3,12
Holman Left Hand Right Foot Crab Reach,Core,gym,general fitness,3,12
Holman Alternating Crab Flip to Froggy Push-Up to Kicks,Core,gym,general fitness,3,12
Holman Right Hand Left Foot Sleeping Crab,Core,gym,general fitness,3,12
Holman Left Hand Right Foot Sleeping Crab,Core,gym,general fitness,3,12
Holman Straight Plank with Alternating Leg Kick-Under,Core,gym,general fitness,3,12
Holman Right Hip Drop Push-Up,Core,gym,general fitness,3,12
Holman Right Side Diagonal Burpee,Core,gym,general fitness,3,12
Holman Left Hip Drop Push-Up,Core,gym,general fitness,3,12
Holman Right Leg 7-Up Crunch,Core,gym,general fitness,3,12
Holman Left Leg 7-Up Crunch,Core,gym,general fitness,3,12
Holman Straight Plank Jack,Core,gym,general fitness,3,12
Holman Feet-Elevated Couch Hill Climber,Core,gym,general fitness,3,12
Holman Feet-Elevated Right Side Plank,Core,gym,general fitness,3,12
Holman Alternating Up-Down Plank to Push-Up,Core,gym,general fitness,3,12
Holman Straight Plank Pike,Core,gym,general fitness,3,12
Holman Ninja Knee Straight Plank,Core,gym,general fitness,3,12
Holman Reverse Crunch to Hip Raise,Core,gym,general fitness,3,12
Holman Straight Plank Quick Reach,Core,gym,general fitness,3,12
Holman Alternating Diagonal Straight Plank,Core,gym,general fitness,3,12
Holman Feet-Elevated Left Side Plank,Core,gym,general fitness,3,12
Holman Right Hand Left Foot Crab Reach,Core,gym,general fitness,3,12
Holman Low-Impact Crab Kick,Core,gym,general fitness,3,12
Holman Alternating Crab Flip to Froggy Push-Up,Core,gym,general fitness,3,12
Holman High-Impact Crab Kick,Core,gym,general fitness,3,12
Holman Single-Leg Right Pike,Core,gym,general fitness,3,12
Holman Single-Leg Left Pike,Core,gym,general fitness,3,12
Holman Shoulder Tap to Hand Tap,Core,gym,general fitness,3,12
Holman Towel Reverse Plank Jack,Core,gym,general fitness,3,12
Holman Side-to-Side Twist,Core,gym,general fitness,3,12
Holman Crab Kick with Hop,Core,gym,general fitness,3,12
Holman Crab Reach to Crab Kick,Core,gym,general fitness,3,12
Holman Wide Squat Side-to-Side Obliques,Core,gym,general fitness,3,12
Holman Side Plank Crunch,Core,gym,general fitness,3,12
Total Fitness Ab Tuck,Core,gym,general fitness,3,12
Active hang from bar,Core,gym,general fitness,3,12
Cat-cow,Core,gym,general fitness,3,12
Crab walk,Core,gym,general fitness,3,12
Lunge with overhead reach,Core,gym,general fitness,3,12
Hang from bar,Core,gym,general fitness,3,12
Total Fitness Hollow Hold,Core,gym,general fitness,3,12
Total Fitness Side Plank,Core,gym,general fitness,3,12
Side plank pulse,Core,gym,general fitness,3,12
Total Fitness Spider Crawl (Unweighted),Core,gym,general fitness,3,12
Total Fitness V-Up,Core,gym,general fitness,3,12
MetaBurn Alternating Knee-to-Elbow Mountain Climber,Core,gym,general fitness,3,12
Alternating sit-through with crunch-,Core,gym,general fitness,3,12
MetaBurn Alternating Toe-Touch,Core,gym,general fitness,3,12
MetaBurn Janda Sit-Up,Core,gym,general fitness,3,12
MetaBurn Oblique Roll Crunch,Core,gym,general fitness,3,12
MetaBurn Plank Jack,Core,gym,general fitness,3,12
MetaBurn Plank To Alternating Side Plank,Core,gym,general fitness,3,12
MetaBurn Plank Up-Down,Core,gym,general fitness,3,12
MetaBurn Plank Wiper,Core,gym,general fitness,3,12
MetaBurn Plank With Alternating Toe-Touch,Core,gym,general fitness,3,12
MetaBurn Plyo Push-Up,Core,gym,general fitness,3,12
MetaBurn Psycho Crunch,Core,gym,general fitness,3,12
MetaBurn Scapular Retraction Plank,Core,gym,general fitness,3,12
MetaBurn Scapular Retraction Plank Hold,Core,gym,general fitness,3,12
MetaBurn Scorpion,Core,gym,general fitness,3,12
MetaBurn Side Crawler,Core,gym,general fitness,3,12
MetaBurn Side Plank Oblique Crunch,Core,gym,general fitness,3,12
MetaBurn Sit-Through,Core,gym,general fitness,3,12
MetaBurn Sit-Up To V-Up,Core,gym,general fitness,3,12
MetaBurn Sit-Up With Rotation,Core,gym,general fitness,3,12
MetaBurn Split-Leg Crunch,Core,gym,general fitness,3,12
MetaBurn Tabletop Hip Thrust,Core,gym,general fitness,3,12
MetaBurn Tabletop With Russian Kick,Core,gym,general fitness,3,12
MetaBurn Toe Driver Abs,Core,gym,general fitness,3,12
MetaBurn-V-Up,Core,gym,general fitness,3,12
X-body V-up,Core,gym,general fitness,3,12
MetaBurn Swivel Crunch,Core,gym,general fitness,3,12
Robertson Core-Engaged Dead Bug,Core,gym,general fitness,3,12
FYR2 Double-Under,Core,gym,general fitness,3,12
FYR2 Fire Feet with Burpee Tuck Jump Drill,Core,gym,general fitness,3,12
FYR2 Flutter Kick,Core,gym,general fitness,3,12
FYR2 Half-Moon,Core,gym,general fitness,3,12
FYR2 Leopard Crawl,Core,gym,general fitness,3,12
FYR2 Plank Alternating Front Step,Core,gym,general fitness,3,12
FYR2 Shoulder Tap,Core,gym,general fitness,3,12
Hand shift plank,Core,gym,general fitness,3,12
Cross-body plank march,Core,gym,general fitness,3,12
Bent-knee Copenhagen hip adduction,Core,gym,general fitness,3,12
Copenhagen plank,Core,gym,general fitness,3,12
ACFT Hanging leg tuck,Core,gym,general fitness,3,12
Alternating hanging knee raise,Core,gym,general fitness,3,12
Plank To Sphinx,Core,gym,general fitness,3,12
Twisting Mountain Climbers,Core,gym,general fitness,3,12
Jack Knives,Core,gym,general fitness,3,12
Hanging Leg Raises,Core,gym,general fitness,3,12
Dumbbell suitcase crunch,Core,gym,general fitness,3,12
Medicine ball rotational throw,Core,gym,general fitness,3,12
Hollow-hold ball toss,Core,gym,general fitness,3,12
Partner front Russian twist and pass,Core,gym,general fitness,3,12
Sit-up with single-arm overhand throw,Core,gym,general fitness,3,12
Medicine ball partner twist,Core,gym,general fitness,3,12
Partner side Russian twist and pass,Core,gym,general fitness,3,12
Medicine ball half moon,Core,gym,general fitness,3,12
Exercise ball roll-out,Core,gym,general fitness,3,12
Medicine ball pass,Core,gym,general fitness,3,12
Partner medicine ball sit-up,Core,gym,general fitness,3,12
Medicine ball Russian twist,Core,gym,general fitness,3,12
30 Medicine Ball Slam,Core,gym,general fitness,3,12
Medicine ball twist,Core,gym,general fitness,3,12
FYR2 Medicine Ball Complex,Core,gym,general fitness,3,12
FYR2 Medicine Ball Fire-Feet Drill,Core,gym,general fitness,3,12
FYR2 Medicine Ball Knees-to-Chest,Core,gym,general fitness,3,12
FYR2 Medicine Ball Mountain Climber,Core,gym,general fitness,3,12
Decline oblique crunch,Core,gym,general fitness,3,12
Decline sit-up,Core,gym,general fitness,3,12
Hanging Windshield Wiper,Core,gym,general fitness,3,12
Exercise Ball Pull-In,Core,gym,general fitness,3,12
Exercise ball crunch,Core,gym,general fitness,3,12
Feet-elevated crunch,Core,gym,general fitness,3,12
Weighted Ball Side Bend,Core,gym,general fitness,3,12
Swiss Ball Ab Roll-Out,Core,gym,general fitness,3,12
Exercise Ball Cable Crunch - Gethin Variation,Core,gym,general fitness,3,12
Exercise ball squat and twist,Core,gym,general fitness,3,12
Swiss Ball V-Up With Foot Pass,Core,gym,general fitness,3,12
Exercise ball pike,Core,gym,general fitness,3,12
Exercise ball bird dog,Core,gym,general fitness,3,12
Exercise ball superman,Core,gym,general fitness,3,12
BOSU cross-body crunch,Core,gym,general fitness,3,12
Exercise Ball Knee Tuck - Gethin Varation,Core,gym,general fitness,3,12
Alternating Exercise Ball Knee Tucks - Gethin Variation,Core,gym,general fitness,3,12
AM Ball Crunch,Core,gym,general fitness,3,12
30 Bosu Cable Reverse Crunch,Core,gym,general fitness,3,12
BOSU knee tuck,Core,gym,general fitness,3,12
30 Side Plank On Ball,Core,gym,general fitness,3,12
Hanging exercise ball leg raise,Core,gym,general fitness,3,12
Taylor Exercise Ball Stir-The-Pot,Core,gym,general fitness,3,12
FYR2 Air Ball,Core,gym,general fitness,3,12
Feet-elevated plank on ball,Core,gym,general fitness,3,12
Band Hip Adductions,Adductors,home,general fitness,3,12
Lateral Band Walk,Abductors,home,general fitness,3,12
FYR2 Standing Banded Leg Abduction,Abductors,home,general fitness,3,12
Iliotibial band SMR,Abductors,gym,general fitness,3,12
Adductor SMR,Adductors,gym,general fitness,3,12
Lying Bent Leg Groin,Adductors,gym,general fitness,3,12
Lateral box jump,Adductors,gym,general fitness,3,12
Thigh adductor,Adductors,gym,general fitness,3,12
Thigh abductor,Abductors,gym,general fitness,3,12
Standing Hip Circles,Abductors,gym,general fitness,3,12
Groiners,Adductors,gym,general fitness,3,12
Fire Hydrant,Abductors,gym,general fitness,3,12
Windmills,Abductors,gym,general fitness,3,12
Side Leg Raises,Adductors,gym,general fitness,3,12
Lateral hop,Adductors,gym,general fitness,3,12
Monster Walk,Abductors,gym,general fitness,3,12
Side Lying Groin Stretch,Adductors,gym,general fitness,3,12
IT Band and Glute Stretch,Abductors,gym,general fitness,3,12
Single-leg lying cross-over stretch,Abductors,gym,general fitness,3,12
Carioca quick step,Adductors,gym,general fitness,3,12
Standing hip circle,Abductors,gym,general fitness,3,12
Lateral cone hop,Adductors,gym,general fitness,3,12
Side-To-Side Adductor Stretch,Adductors,gym,general fitness,3,12
Dynamic pigeon stretch,Abductors,gym,general fitness,3,12
Cross-over jack,Abductors,gym,general fitness,3,12
Traveling thigh killa,Abductors,gym,general fitness,3,12
FYR Thigh Killa,Abductors,gym,general fitness,3,12
HM Straddle Stretch,Abductors,gym,general fitness,3,12
HM Right Leg Swing,Abductors,gym,general fitness,3,12
HM Right Side-Kick,Abductors,gym,general fitness,3,12
HM Frog Stretch,Abductors,gym,general fitness,3,12
HM Kick-Out,Abductors,gym,general fitness,3,12
HM Left Leg Swing,Adductors,gym,general fitness,3,12
UNS Foam Roll Adductor,Adductors,gym,general fitness,3,12
MetaBurn Groiner,Abductors,gym,general fitness,3,12
Side-lying leg adduction scissor,Adductors,gym,general fitness,3,12
Groin and Back Stretch,Adductors,gym,general fitness,3,12
Adductor/Groin,Adductors,gym,general fitness,3,12
Incline dumbbell biceps curl,Biceps,home,general fitness,3,12
Banded biceps curl in squat position,Biceps,home,general fitness,3,12
Banded Hammer Press - Gethin Variation,Biceps,home,general fitness,3,12
Band standing concentration curl,Biceps,home,general fitness,3,12
Brachialis SMR,Biceps,gym,general fitness,3,12
Wide-grip barbell curl,Biceps,gym,general fitness,3,12
EZ-bar spider curl,Biceps,gym,general fitness,3,12
Barbell Curl,Biceps,gym,general fitness,3,12
Close-grip EZ-bar curl,Biceps,gym,general fitness,3,12
Preacher Curl,Biceps,gym,general fitness,3,12
Barbell Curls Lying Against An Incline,Biceps,gym,general fitness,3,12
Seated Close-Grip Concentration Barbell Curl,Biceps,gym,general fitness,3,12
Close-grip barbell curl,Biceps,gym,general fitness,3,12
Drag curl,Biceps,gym,general fitness,3,12
Reverse-grip barbell curl,Biceps,gym,general fitness,3,12
Lying High Bench Barbell Curl,Biceps,gym,general fitness,3,12
Seated wide-grip curl to close-grip curl,Biceps,gym,general fitness,3,12
Seated Straigh-Bar Curl Superset,Biceps,gym,general fitness,3,12
Dave Draper Forehead Curl,Biceps,gym,general fitness,3,12
Reverse-grip EZ-bar curl,Biceps,gym,general fitness,3,12
EZ-Bar Spider Curl - Gethin Variation,Biceps,gym,general fitness,3,12
Barbell curl-,Biceps,gym,general fitness,3,12
Paul Carter Barbell Curl,Biceps,gym,general fitness,3,12
Standing band biceps curl,Biceps,gym,general fitness,3,12
Close-Grip EZ-Bar Curl - Gethin Variation,Biceps,gym,general fitness,3,12
Seated Barbell Curl,Biceps,gym,general fitness,3,12
AM Standing Barbell Curl,Biceps,gym,general fitness,3,12
EZ-bar preacher curl,Biceps,gym,general fitness,3,12
30 Arms Standing Barbell Curl,Biceps,gym,general fitness,3,12
30 Arms Incline Biceps Curl,Biceps,gym,general fitness,3,12
"Bicep Curls ""21s""",Biceps,gym,general fitness,3,12
Incline Hammer Curls,Biceps,home,general fitness,3,12
Hammer Curls,Biceps,home,general fitness,3,12
Biceps curl to shoulder press,Biceps,home,general fitness,3,12
Concentration curl,Biceps,home,general fitness,3,12
Flexor Incline Dumbbell Curls,Biceps,home,general fitness,3,12
Dumbbell Bicep Curl,Biceps,home,general fitness,3,12
Cross-body hammer curl,Biceps,home,general fitness,3,12
Dumbbell Alternate Bicep Curl,Biceps,home,general fitness,3,12
Single-arm dumbbell preacher curl,Biceps,home,general fitness,3,12
Alternate Incline Dumbbell Curl,Biceps,home,general fitness,3,12
Standing concentration curl,Biceps,home,general fitness,3,12
Alternating incline dumbbell biceps curl,Biceps,home,general fitness,3,12
Alternate Hammer Curl,Biceps,home,general fitness,3,12
Seated dumbbell biceps curl,Biceps,home,general fitness,3,12
Preacher Hammer Dumbbell Curl,Biceps,home,general fitness,3,12
Dumbbell preacher curl,Biceps,home,general fitness,3,12
Lying Supine Dumbbell Curl,Biceps,home,general fitness,3,12
Standing Dumbbell Reverse Curl,Biceps,home,general fitness,3,12
Palms-out incline biceps curl,Biceps,home,general fitness,3,12
Straight-arm plank with biceps curl,Biceps,home,general fitness,3,12
Face-down incline dumbbell biceps curl,Biceps,home,general fitness,3,12
Seated Dumbbell Inner Biceps Curl,Biceps,home,general fitness,3,12
Standing Inner-Biceps Curl,Biceps,home,general fitness,3,12
Seated hammer curl,Biceps,home,general fitness,3,12
Paul Carter Incline Dumbbell Biceps Curl,Biceps,home,general fitness,3,12
Paul Carter Concentration Curl,Biceps,home,general fitness,3,12
FYR Dumbbell Curl,Biceps,home,general fitness,3,12
Dumbbell biceps curl to upright row,Biceps,home,general fitness,3,12
FYR Dumbbell Hammer Curl,Biceps,home,general fitness,3,12
Dumbbell overhead hold with single-arm curl,Biceps,home,general fitness,3,12
FYR Kneeling Biceps,Biceps,home,general fitness,3,12
Lunge hold dumbbell curl,Biceps,home,general fitness,3,12
FYR Dumbbell Biceps Curl,Biceps,home,general fitness,3,12
Alternating dumbbell snatch,Biceps,home,general fitness,3,12
TBS Incline Dumbbell Curl,Biceps,home,general fitness,3,12
TBS Hammer Curl,Biceps,home,general fitness,3,12
Reverse-grip dumbbell curl,Biceps,home,general fitness,3,12
Incline Dumbbell Curl - Gethin Variation,Biceps,home,general fitness,3,12
Hammer curl,Biceps,home,general fitness,3,12
Seated Dumbbell Curl - Gethin Variation,Biceps,home,general fitness,3,12
Dumbbell Hammer Curl - Gethin Variation,Biceps,home,general fitness,3,12
Single-arm seated dumbbell curl,Biceps,home,general fitness,3,12
Lying Cable Curl - Gethin Variation,Biceps,home,general fitness,3,12
Dumbbell biceps curl,Biceps,home,general fitness,3,12
Seated Biceps Hammer Curl,Biceps,home,general fitness,3,12
HM Alternating Reverse Lunge With Biceps Curl,Biceps,home,general fitness,3,12
AM Hammer Curls,Biceps,home,general fitness,3,12
AM Seated Hammer Curls,Biceps,home,general fitness,3,12
Seated alternating biceps curl,Biceps,home,general fitness,3,12
Alternating hammer curl,Biceps,home,general fitness,3,12
Alternating biceps curl,Biceps,home,general fitness,3,12
Holman Slow Biceps Curl,Biceps,home,general fitness,3,12
Holman Biceps Curl to Chest Punch,Biceps,home,general fitness,3,12
Holman Right Arm Heavy Biceps Curl,Biceps,home,general fitness,3,12
Holman Left Arm Heavy Biceps Curl,Biceps,home,general fitness,3,12
Holman Alternating Front Lunge Biceps Curl,Biceps,home,general fitness,3,12
Holman Weighted Double-Time Biceps Curl,Biceps,home,general fitness,3,12
Holman Heavy Right Arm Biceps Curl,Biceps,home,general fitness,3,12
Holman Heavy Left Arm Biceps Curl,Biceps,home,general fitness,3,12
MetaBurn Dumbbell Drag Curl,Biceps,home,general fitness,3,12
MetaBurn Hammer Curl to Overhead Press,Biceps,home,general fitness,3,12
MetaBurn Biceps Curl To Lateral Raise,Biceps,home,general fitness,3,12
FYR2 Alternating Dumbbell Curl,Biceps,home,general fitness,3,12
FYR2 Pulse Biceps Curl,Biceps,home,general fitness,3,12
FYR2 Seesaw Dumbbell Biceps Curl,Biceps,home,general fitness,3,12
FYR2 Single-Dumbbell Biceps Curl,Biceps,home,general fitness,3,12
FYR2 Dumbbell Curl-Row Complex,Biceps,home,general fitness,3,12
30 Arms Standing Dumbbell Hammer Curl 21s,Biceps,home,general fitness,3,12
30 Arms Standing Biceps Curl,Biceps,home,general fitness,3,12
30 Arms Standing Alternating Hammer Curl,Biceps,home,general fitness,3,12
30 Arms Standing Alternating Biceps Curl,Biceps,home,general fitness,3,12
30 Arms Single-Arm Hammer Preacher Curl,Biceps,home,general fitness,3,12
30 Arms Single-Arm Dumbbell Preacher Curl,Biceps,home,general fitness,3,12
30 Arms Seated Dumbbell Concentration Curl,Biceps,home,general fitness,3,12
30 Arms Seated Biceps Curl,Biceps,home,general fitness,3,12
30 Arms Seated Alternating Biceps Curl,Biceps,home,general fitness,3,12
30 Arms Incline Hammer Curl,Biceps,home,general fitness,3,12
30 Arms Incline Dumbbell Triceps Extension,Biceps,home,general fitness,3,12
30 Arms Hammer Curl,Biceps,home,general fitness,3,12
Reverse Plate Curls,Biceps,gym,general fitness,3,12
Standing Biceps Stretch,Biceps,gym,general fitness,3,12
Suspended Curl,Biceps,gym,general fitness,3,12
Plate hammer curl,Biceps,gym,general fitness,3,12
Barbell spider curl,Biceps,gym,general fitness,3,12
Barbell forehead curl,Biceps,gym,general fitness,3,12
Overhead cable curl,Biceps,gym,general fitness,3,12
Standing One-Arm Cable Curl,Biceps,gym,general fitness,3,12
Reverse Cable Curl,Biceps,gym,general fitness,3,12
Standing Biceps Cable Curl,Biceps,gym,general fitness,3,12
Cable rope hammer curl,Biceps,gym,general fitness,3,12
Lying cable biceps curl,Biceps,gym,general fitness,3,12
Cable rope preacher hammer curl,Biceps,gym,general fitness,3,12
Lying Close-Grip Bar Curl On High Pulley,Biceps,gym,general fitness,3,12
Cable EZ-Bar Preacher Curl - Gethin Variation,Biceps,gym,general fitness,3,12
Squatting cable EZ-bar biceps curl,Biceps,gym,general fitness,3,12
Cable straight-bar biceps curl,Biceps,gym,general fitness,3,12
Standing reverse-grip cable curl,Biceps,gym,general fitness,3,12
Lying high-cable biceps curl,Biceps,gym,general fitness,3,12
High-Pulley Cable Curl - Gethin Variation,Biceps,gym,general fitness,3,12
Standing High Cable Curl - Gethin Variation,Biceps,gym,general fitness,3,12
High Cable Curls,Biceps,gym,general fitness,3,12
Seated cable biceps curl,Biceps,gym,general fitness,3,12
Lying Close-Grip Bar Curl On High Pulley - Gethin Variation,Biceps,gym,general fitness,3,12
Standing Cable Curl - Gethin Variation,Biceps,gym,general fitness,3,12
Double Arm Cable Biceps Curl,Biceps,gym,general fitness,3,12
AM Cable Biceps Curl,Biceps,gym,general fitness,3,12
Single-arm cable biceps curl,Biceps,gym,general fitness,3,12
UP Cable Curl With Straight Bar,Biceps,gym,general fitness,3,12
30 Arms Cable Rope Hammer Curl,Biceps,gym,general fitness,3,12
30 Arms Squatting Cable Straight-Bar Curl,Biceps,gym,general fitness,3,12
30 Arms High Cable Curl,Biceps,gym,general fitness,3,12
30 Arms Cable Straight-Bar Curl,Biceps,gym,general fitness,3,12
30 Arms Cable Concentration Curl,Biceps,gym,general fitness,3,12
30 Arms BFR High Cable Curl,Biceps,gym,general fitness,3,12
BFR cable rope hammer curl,Biceps,gym,general fitness,3,12
Machine Bicep Curl,Biceps,gym,general fitness,3,12
Machine Preacher Curls,Biceps,gym,general fitness,3,12
Single-arm machine preacher curl,Biceps,gym,general fitness,3,12
Machine preacher curl,Biceps,gym,general fitness,3,12
Smith machine drag curl,Biceps,gym,general fitness,3,12
30 Arms BFR Machine Preacher Curl,Biceps,gym,general fitness,3,12
Seated Biceps,Biceps,gym,general fitness,3,12
TBS Chin-Up,Biceps,gym,general fitness,3,12
Pull-up - Gethin Variation,Biceps,gym,general fitness,3,12
UN Pull-Up Supinated,Biceps,gym,general fitness,3,12
UN Pull-Up Pronated,Biceps,gym,general fitness,3,12
UN Pull-Up Neutral,Biceps,gym,general fitness,3,12
EZ-Bar Curl,Biceps,gym,general fitness,3,12
Reverse Barbell Preacher Curls,Biceps,gym,general fitness,3,12
Close-Grip EZ-Bar Curl with Band,Biceps,gym,general fitness,3,12
Standing EZ-Bar Curl - Gethin Variation,Biceps,gym,general fitness,3,12
TBS EZ-Bar Curl,Biceps,gym,general fitness,3,12
Standing EZ-bar curl,Biceps,gym,general fitness,3,12
30 Arms Standing Overhand EZ-Bar Curl,Biceps,gym,general fitness,3,12
30 Arms EZ-Bar Spider Curl,Biceps,gym,general fitness,3,12
30 Arms EZ-Bar Preacher Curl,Biceps,gym,general fitness,3,12
30 Arms Standing EZ-Bar Curl,Biceps,gym,general fitness,3,12
Calf Raises - With Bands,Calves,home,general fitness,3,12
Peroneals Stretch,Calves,home,general fitness,3,12
Posterior Tibialis Stretch,Calves,home,general fitness,3,12
Calf SMR,Calves,gym,general fitness,3,12
Rocking Standing Calf Raise,Calves,gym,general fitness,3,12
Standing barbell calf raise,Calves,gym,general fitness,3,12
Barbell Seated Calf Raise,Calves,gym,general fitness,3,12
Smith machine standing calf raise,Calves,gym,general fitness,3,12
Calf Raise On A Dumbbell,Calves,home,general fitness,3,12
Standing Dumbbell Calf Raise,Calves,home,general fitness,3,12
Single-leg standing dumbbell calf raise,Calves,home,general fitness,3,12
Dumbbell walking calf raise,Calves,home,general fitness,3,12
Balance Board,Calves,gym,general fitness,3,12
Weighted donkey calf raise,Calves,gym,general fitness,3,12
Anterior Tibialis-SMR,Calves,gym,general fitness,3,12
Foot-SMR,Calves,gym,general fitness,3,12
Agility Ladder,Calves,gym,general fitness,3,12
Single-leg machine seated calf raise,Calves,gym,general fitness,3,12
Smith Machine Calf Raise,Calves,gym,general fitness,3,12
Standing Calf Raises,Calves,gym,general fitness,3,12
Seated Calf Raise,Calves,gym,general fitness,3,12
Calf Press On The Leg Press Machine,Calves,gym,general fitness,3,12
Calf Press,Calves,gym,general fitness,3,12
Smith Machine Reverse Calf Raises,Calves,gym,general fitness,3,12
Seated Single-Leg Calf Press - Gethin Variation,Calves,gym,general fitness,3,12
Seated Calf Raise - Gethin Variation,Calves,gym,general fitness,3,12
Donkey Calf Raise - Gethin Variation,Calves,gym,general fitness,3,12
Standing Calf Raise Facing Hack Squat Machine - Gethin Variation,Calves,gym,general fitness,3,12
Calf Press On A Hack Squat Machine - Gethin Variation,Calves,gym,general fitness,3,12
Smith Machine Standing Calf Raises - Gethin Variation,Calves,gym,general fitness,3,12
Hack squat calf raise,Calves,gym,general fitness,3,12
Seated Calf Press - Gethin Variation,Calves,gym,general fitness,3,12
Leg press calf raise,Calves,gym,general fitness,3,12
Machine seated calf raise,Calves,gym,general fitness,3,12
30 Legs Seated Calf Raise,Calves,gym,general fitness,3,12
30 Legs Standing Calf Raise,Calves,gym,general fitness,3,12
Peroneals-SMR,Calves,gym,general fitness,3,12
Knee Circles,Calves,gym,general fitness,3,12
Standing Gastrocnemius Calf Stretch,Calves,gym,general fitness,3,12
Wall calf stretch,Calves,gym,general fitness,3,12
Seated Calf Stretch,Calves,gym,general fitness,3,12
Standing Calf Raise,Calves,gym,general fitness,3,12
Standing calf raise-,Calves,gym,general fitness,3,12
HM Left Calf-Spike Sumo Pulse,Calves,gym,general fitness,3,12
Ankle Circles,Calves,gym,general fitness,3,12
Calf Stretch Elbows Against Wall,Calves,gym,general fitness,3,12
Standing Soleus And Achilles Stretch,Calves,gym,general fitness,3,12
Cross Over - With Bands,Chest,home,general fitness,3,12
Bench Press - With Bands,Chest,home,general fitness,3,12
Bench Press With Short Bands,Chest,home,general fitness,3,12
Feet-Elevated TRX Push-Up,Chest,home,general fitness,3,12
Band-suspended kettlebell bench press,Chest,home,general fitness,3,12
HM Banded Cross-Over Pull,Chest,home,general fitness,3,12
Rusin Band Pull-Apart,Chest,home,general fitness,3,12
UNS Banded Push-Up,Chest,home,general fitness,3,12
Taylor Band-Assisted One-Arm Push-Up,Chest,home,general fitness,3,12
Incline band bench press,Chest,home,general fitness,3,12
Band push-up,Chest,home,general fitness,3,12
Band chest fly,Chest,home,general fitness,3,12
Close-grip bench press,Chest,gym,general fitness,3,12
Barbell Bench Press - Medium Grip,Chest,gym,general fitness,3,12
Decline barbell bench press,Chest,gym,general fitness,3,12
Wide-grip bench press,Chest,gym,general fitness,3,12
Wide-Grip Decline Barbell Bench Press,Chest,gym,general fitness,3,12
Barbell Incline Bench Press Medium-Grip,Chest,gym,general fitness,3,12
Neck Press,Chest,gym,general fitness,3,12
Front Raise And Pullover,Chest,gym,general fitness,3,12
Board bench press,Chest,gym,general fitness,3,12
Barbell Bench Press-Wide Grip,Chest,gym,general fitness,3,12
Wide-Grip Decline Barbell Pullover,Chest,gym,general fitness,3,12
Barbell Guillotine Bench Press,Chest,gym,general fitness,3,12
Band-suspended kettlebell bench press,Chest,home,general fitness,3,12
Paul Carter Incline Bench Press,Chest,gym,general fitness,3,12
Incline bench press,Chest,gym,general fitness,3,12
Bench press,Chest,gym,general fitness,3,12
TBS Close-Grip Bench Press,Chest,gym,general fitness,3,12
AM Flat Bench Barbell Press,Chest,gym,general fitness,3,12
UP Bench Press,Chest,gym,general fitness,3,12
UP Close-Grip Bench Press,Chest,gym,general fitness,3,12
